Date,Order_ID,Salesperson,Region,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Payment_Status
2024-01-01,ORD-001,John Smith,North,Electronics,Laptop Pro 15,2,1299.99,2599.98,1400.00,Completed
2024-01-01,ORD-002,Sarah Johnson,South,Clothing,Premium T-Shirt,15,29.99,449.85,150.00,Completed
2024-01-02,ORD-003,Mike Chen,East,Home,Desk Lamp LED,8,49.99,399.92,160.00,Completed
2024-01-02,ORD-004,Emily Davis,West,Electronics,Wireless Mouse,25,34.99,874.75,400.00,Completed
2024-01-03,ORD-005,John Smith,North,Home,Coffee Maker Deluxe,5,129.99,649.95,250.00,Pending
2024-01-03,ORD-006,Sarah Johnson,South,Clothing,Winter Jacket,10,89.99,899.90,400.00,Completed
2024-01-04,ORD-007,Mike Chen,East,Electronics,Monitor 27 Inch,6,299.99,1799.94,900.00,Completed
2024-01-04,ORD-008,Emily Davis,West,Home,Office Chair Executive,4,249.99,999.96,500.00,Completed
2024-01-05,ORD-009,David Wilson,North,Clothing,Jeans Premium,20,59.99,1199.80,600.00,Completed
2024-01-05,ORD-010,Jessica Lee,South,Electronics,Keyboard Mechanical,12,89.99,1079.88,480.00,Pending
2024-01-06,ORD-011,John Smith,North,Home,Bookshelf Modern,3,179.99,539.97,180.00,Completed
2024-01-06,ORD-012,Sarah Johnson,South,Clothing,Polo Shirts Set,18,39.99,719.82,280.00,Completed
2024-01-07,ORD-013,Mike Chen,East,Electronics,USB-C Hub,30,29.99,899.70,300.00,Completed
2024-01-07,ORD-014,Emily Davis,West,Home,Table Dining Oak,2,599.99,1199.98,700.00,Completed
2024-01-08,ORD-015,David Wilson,North,Electronics,Headphones Noise Cancel,15,149.99,2249.85,900.00,Completed
2024-01-08,ORD-016,Jessica Lee,South,Clothing,Sweater Wool,12,79.99,959.88,400.00,Pending
2024-01-09,ORD-017,John Smith,North,Home,Curtains Blackout,20,34.99,699.80,200.00,Completed
2024-01-09,ORD-018,Sarah Johnson,South,Electronics,Webcam HD,8,79.99,639.92,280.00,Completed
2024-01-10,ORD-019,Mike Chen,East,Clothing,Dress Formal,10,129.99,1299.90,600.00,Completed
2024-01-10,ORD-020,Emily Davis,West,Home,Mirror Wall Decorative,5,99.99,499.95,150.00,Completed
2024-01-11,ORD-021,David Wilson,North,Electronics,Phone Stand,25,24.99,624.75,200.00,Completed
2024-01-11,ORD-022,Jessica Lee,South,Home,Rug Persian Style,4,449.99,1799.96,800.00,Pending
2024-01-12,ORD-023,John Smith,North,Clothing,Boxer Shorts Set,30,19.99,599.70,180.00,Completed
2024-01-12,ORD-024,Sarah Johnson,South,Electronics,Hard Drive External,9,129.99,1169.91,450.00,Completed
2024-01-13,ORD-025,Mike Chen,East,Home,Bed Frame Queen,3,799.99,2399.97,1200.00,Completed
2024-01-13,ORD-026,Emily Davis,West,Clothing,Skirt Casual,14,59.99,839.86,350.00,Completed
2024-01-14,ORD-027,David Wilson,North,Electronics,Monitor 24 Inch,7,199.99,1399.93,700.00,Pending
2024-01-14,ORD-028,Jessica Lee,South,Home,Nightstand Wood,6,199.99,1199.94,500.00,Completed
2024-01-15,ORD-029,John Smith,North,Clothing,Coat Winter,8,199.99,1599.92,800.00,Completed
2024-01-15,ORD-030,Sarah Johnson,South,Electronics,Printer LaserJet,3,399.99,1199.97,600.00,Completed
2024-01-16,ORD-031,Mike Chen,East,Home,Sofa 3-Seater,2,1199.99,2399.98,1400.00,Completed
2024-01-16,ORD-032,Emily Davis,West,Clothing,Shorts Summer,22,39.99,879.78,300.00,Pending
2024-01-17,ORD-033,David Wilson,North,Electronics,Router WiFi 6,5,179.99,899.95,350.00,Completed
2024-01-17,ORD-034,Jessica Lee,South,Home,Pillow Set Luxury,8,89.99,719.92,250.00,Completed
2024-01-18,ORD-035,John Smith,North,Clothing,Shirt Casual,25,49.99,1249.75,500.00,Completed
2024-01-18,ORD-036,Sarah Johnson,South,Electronics,Mouse Pad Pro,40,19.99,799.60,250.00,Completed
2024-01-19,ORD-037,Mike Chen,East,Home,Drawer Cabinet,4,249.99,999.96,400.00,Completed
2024-01-19,ORD-038,Emily Davis,West,Electronics,Webcam 4K,6,199.99,1199.94,500.00,Pending
2024-01-20,ORD-039,David Wilson,North,Clothing,Shoes Running,12,129.99,1559.88,600.00,Completed
2024-01-20,ORD-040,Jessica Lee,South,Home,Desk Wooden,3,699.99,2099.97,1000.00,Completed
2024-01-21,ORD-041,John Smith,North,Electronics,SSD 1TB,8,149.99,1199.92,500.00,Completed
2024-01-21,ORD-042,Sarah Johnson,South,Clothing,Socks Bundle,50,9.99,499.50,150.00,Completed
2024-01-22,ORD-043,Mike Chen,East,Home,Wall Clock Modern,10,79.99,799.90,250.00,Completed
2024-01-22,ORD-044,Emily Davis,West,Electronics,Keyboard Wireless,11,119.99,1319.89,500.00,Completed
2024-01-23,ORD-045,David Wilson,North,Clothing,Hat Baseball,18,29.99,539.82,150.00,Pending
2024-01-23,ORD-046,Jessica Lee,South,Electronics,Monitor Curved,4,449.99,1799.96,800.00,Completed
2024-01-24,ORD-047,John Smith,North,Home,Mattress Queen,2,999.99,1999.98,1000.00,Completed
2024-01-24,ORD-048,Sarah Johnson,South,Clothing,Dress Casual,8,99.99,799.92,350.00,Completed
2024-01-25,ORD-049,Mike Chen,East,Electronics,Laptop Stand,15,49.99,749.85,250.00,Completed
2024-01-25,ORD-050,Emily Davis,West,Home,Shelving Unit,5,199.99,999.95,400.00,Pending
2024-02-01,ORD-051,David Wilson,North,Electronics,Power Bank,20,49.99,999.80,300.00,Completed
2024-02-01,ORD-052,Jessica Lee,South,Clothing,Blouse Formal,9,89.99,809.91,350.00,Completed
2024-02-02,ORD-053,John Smith,North,Home,Plant Pot Set,12,29.99,359.88,100.00,Completed
2024-02-02,ORD-054,Sarah Johnson,South,Electronics,Phone Case,35,19.99,699.65,200.00,Completed
2024-02-03,ORD-055,Mike Chen,East,Clothing,Scarf Winter,16,39.99,639.84,250.00,Pending
2024-02-03,ORD-056,Emily Davis,West,Electronics,Screen Protector,60,9.99,599.40,150.00,Completed
2024-02-04,ORD-057,David Wilson,North,Home,Storage Basket,8,49.99,399.92,120.00,Completed
2024-02-04,ORD-058,Jessica Lee,South,Electronics,USB Hub,14,34.99,489.86,180.00,Completed
2024-02-05,ORD-059,John Smith,North,Clothing,Gloves Leather,11,59.99,659.89,300.00,Completed
2024-02-05,ORD-060,Sarah Johnson,South,Home,Floor Mat,6,79.99,479.94,150.00,Pending
2024-02-06,ORD-061,Mike Chen,East,Electronics,Camera DSLR,3,899.99,2699.97,1200.00,Completed
2024-02-06,ORD-062,Emily Davis,West,Clothing,Pants Chino,10,79.99,799.90,350.00,Completed
2024-02-07,ORD-063,David Wilson,North,Home,Lamp Floor,4,149.99,599.96,200.00,Completed
